serie,tempo_min,intensidade_mm_h,incremento_mm,precipitacao_acumulada_mm
TS_TR25,0,20.340000,1.695000,1.695000
TS_TR25,5,22.030000,1.835833,3.530833
TS_TR25,10,24.050000,2.004167,5.535000
TS_TR25,15,26.490000,2.207500,7.742500
TS_TR25,20,29.510000,2.459167,10.201667
TS_TR25,25,33.320000,2.776667,12.978333
TS_TR25,30,38.290000,3.190833,16.169167
TS_TR25,35,45.000000,3.750000,19.919167
TS_TR25,40,54.480000,4.540000,24.459167
TS_TR25,45,68.780000,5.731667,30.190833
TS_TR25,50,92.360000,7.696667,37.887500
TS_TR25,55,136.990000,11.415833,49.303333
TS_TR25,60,177.160000,14.763333,64.066667
TS_TR25,65,110.700000,9.225000,73.291667
TS_TR25,70,78.950000,6.579167,79.870833
TS_TR25,75,60.840000,5.070000,84.940833
TS_TR25,80,49.300000,4.108333,89.049167
TS_TR25,85,41.380000,3.448333,92.497500
TS_TR25,90,35.630000,2.969167,95.466667
TS_TR25,95,31.300000,2.608333,98.075000
TS_TR25,100,27.910000,2.325833,100.400833
TS_TR25,105,25.210000,2.100833,102.501667
TS_TR25,110,22.990000,1.915833,104.417500
TS_TR25,115,21.150000,1.762500,106.180000
TS_TR50,0,22.270000,1.855833,1.855833
TS_TR50,5,24.120000,2.010000,3.865833
TS_TR50,10,26.320000,2.193333,6.059167
TS_TR50,15,29.000000,2.416667,8.475833
TS_TR50,20,32.300000,2.691667,11.167500
TS_TR50,25,36.480000,3.040000,14.207500
TS_TR50,30,41.920000,3.493333,17.700833
TS_TR50,35,49.260000,4.105000,21.805833
TS_TR50,40,59.640000,4.970000,26.775833
TS_TR50,45,75.290000,6.274167,33.050000
TS_TR50,50,101.110000,8.425833,41.475833
TS_TR50,55,149.960000,12.496667,53.972500
TS_TR50,60,193.930000,16.160833,70.133333
TS_TR50,65,121.180000,10.098333,80.231667
TS_TR50,70,86.430000,7.202500,87.434167
TS_TR50,75,66.600000,5.550000,92.984167
TS_TR50,80,53.970000,4.497500,97.481667
TS_TR50,85,45.290000,3.774167,101.255833
TS_TR50,90,39.010000,3.250833,104.506667
TS_TR50,95,34.260000,2.855000,107.361667
TS_TR50,100,30.560000,2.546667,109.908333
TS_TR50,105,27.590000,2.299167,112.207500
TS_TR50,110,25.170000,2.097500,114.305000
TS_TR50,115,23.150000,1.929167,116.234167
