tr_anos,duracao_min,intensidade_mm_h,precipitacao_mm,equacao
2,5,127.412122,10.617677,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
2,10,112.967815,18.827969,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
2,15,101.850110,25.462527,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
2,30,79.704829,39.852415,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
2,60,57.190152,57.190152,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
2,120,38.182289,76.364579,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
2,360,18.330924,109.985546,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
2,720,11.181721,134.180652,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
2,1440,6.743532,161.844779,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,5,143.595860,11.966322,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,10,127.316854,21.219476,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,15,114.786991,28.696748,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,30,89.828843,44.914422,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,60,64.454378,64.454378,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,120,43.032159,86.064318,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,360,20.659297,123.955781,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,720,12.602010,151.224121,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
5,1440,7.600088,182.402113,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,5,157.190514,13.099209,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,10,139.370325,23.228388,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,15,125.654223,31.413556,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,30,98.333211,49.166606,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,60,70.556469,70.556469,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,120,47.106143,94.212287,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,360,22.615175,135.691049,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,720,13.795080,165.540965,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
10,1440,8.319611,199.670672,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,5,177.156668,14.763056,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,10,157.072981,26.178830,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,15,141.614674,35.403669,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,30,110.823380,55.411690,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,60,79.518469,79.518469,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,120,53.089511,106.179021,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,360,25.487728,152.926367,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,720,15.547315,186.567784,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
25,1440,9.376359,225.032606,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,5,193.928625,16.160719,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,10,171.943554,28.657259,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,15,155.021763,38.755441,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,30,121.315364,60.657682,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,60,87.046723,87.046723,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,120,58.115655,116.231310,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,360,27.900728,167.404368,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,720,17.019227,204.230720,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
50,1440,10.264047,246.337123,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,5,212.288434,17.690703,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,10,188.221970,31.370328,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,15,169.698142,42.424535,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,30,132.800656,66.400328,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,60,95.287699,95.287699,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,120,63.617639,127.235279,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,360,30.542174,183.253045,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,720,18.630488,223.565859,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
100,1440,11.235775,269.658602,i=1424.1*Tr^0.1305/(t+23.6)^0.7468
