cenario,horizonte,tr_anos,n_modelos_validos,fator_p10,fator_mediana,fator_p90,fator_min,fator_max,p24_p10,p24_mediana,p24_p90
ssp126,2040_2059,25,124,0.842297,1.025089,1.299565,0.710673,1.953466,189.544374,230.678429,292.444483
ssp126,2040_2059,50,124,0.805262,1.039622,1.485060,0.678303,2.587142,198.366026,256.097460,365.825298
ssp126,2060_2100,25,124,0.899239,1.143922,1.465684,0.769670,2.232829,202.358107,257.419667,329.826750
ssp126,2060_2100,50,124,0.890080,1.201394,1.634512,0.739786,3.090982,219.259692,295.947953,402.641106
ssp245,2040_2059,25,124,0.841899,1.032712,1.442623,0.733176,2.306839,189.454731,232.393917,324.637322
ssp245,2040_2059,50,124,0.812012,1.064677,1.637382,0.689806,3.481383,200.028777,262.269418,403.347920
ssp245,2060_2100,25,124,0.889962,1.055035,1.371932,0.763619,1.810285,200.270417,237.417325,308.729374
ssp245,2060_2100,50,124,0.894024,1.082280,1.563980,0.749351,2.226872,220.231423,266.605679,385.266334
ssp370,2040_2059,25,100,0.842478,1.014566,1.457409,0.672811,2.615276,189.585090,228.310503,327.964507
ssp370,2040_2059,50,100,0.833158,1.037036,1.646749,0.643718,3.942259,205.237816,255.460402,405.655305
ssp370,2060_2100,25,100,0.864435,1.036274,1.454665,0.769477,2.607917,194.526119,233.195356,327.346978
ssp370,2060_2100,50,100,0.849900,1.054276,1.762689,0.751094,3.490285,209.362027,259.707266,434.215699
ssp585,2040_2059,25,136,0.817847,1.125007,1.512692,0.713279,3.232690,184.042336,253.163219,340.405041
ssp585,2040_2059,50,136,0.793590,1.193346,1.774408,0.678741,5.949186,195.490770,293.965468,437.102643
ssp585,2060_2100,25,136,0.817572,1.066065,1.394625,0.747823,2.146327,183.980257,239.899464,313.836052
ssp585,2060_2100,50,136,0.817468,1.108877,1.636157,0.707102,2.589705,201.372649,273.157458,403.046242
