grid_id,modelo_id,modelo,cenario,horizonte,ano_inicio,ano_fim,tr_anos,n_historico,n_futuro,q_historico_modelo_mm,q_futuro_modelo_mm,fator_mudanca_diaria,p24_ancorada_idf_mm,metodo_historico,metodo_futuro,erro_historico,erro_futuro,peso_rea,serie_observada_anual_usada
6931,1,ACCESS-CM2,ssp126,2040_2059,2040,2059,25,65,20,41.679241,41.211896,0.988787,222.509339,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp126,2040_2059,2040,2059,50,65,20,43.839513,45.966727,1.048523,258.290077,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp126,2060_2100,2060,2100,25,65,41,41.679241,54.934163,1.318022,296.597959,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp126,2060_2100,2060,2100,50,65,41,43.839513,61.458712,1.401902,345.340563,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp245,2040_2059,2040,2059,25,65,20,41.679241,54.866992,1.316411,296.235295,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp245,2040_2059,2040,2059,50,65,20,43.839513,65.080534,1.484518,365.691822,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp245,2060_2100,2060,2100,25,65,41,41.679241,44.733804,1.073287,241.524660,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp245,2060_2100,2060,2100,50,65,41,43.839513,49.554705,1.130366,278.451162,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp370,2040_2059,2040,2059,25,65,20,41.679241,50.553963,1.212929,272.948590,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp370,2040_2059,2040,2059,50,65,20,43.839513,54.497553,1.243115,306.225352,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp370,2060_2100,2060,2100,25,65,41,41.679241,47.393438,1.137099,255.884430,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp370,2060_2100,2060,2100,50,65,41,43.839513,51.699970,1.179301,290.505548,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp585,2040_2059,2040,2059,25,65,20,41.679241,54.808658,1.315011,295.920338,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp585,2040_2059,2040,2059,50,65,20,43.839513,65.416008,1.492170,367.576870,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp585,2060_2100,2060,2100,25,65,41,41.679241,54.674780,1.311799,295.197512,gev_mle,gev_mle,,,,False
6931,1,ACCESS-CM2,ssp585,2060_2100,2060,2100,50,65,41,43.839513,65.202614,1.487302,366.377797,gev_mle,gev_mle,,,,False
6931,14,ACCESS-ESM1-5,ssp126,2040_2059,2040,2059,25,65,40,44.264743,32.557572,0.735519,165.515824,gev_mle,gev_mle,,,,False
6931,14,ACCESS-ESM1-5,ssp126,2040_2059,2040,2059,50,65,40,47.397988,33.320995,0.703004,173.176087,gev_mle,gev_mle,,,,False
6931,14,ACCESS-ESM1-5,ssp126,2060_2100,2060,2100,25,65,82,44.264743,37.328257,0.843295,189.768980,gev_mle,gev_mle,,,,False
6931,14,ACCESS-ESM1-5,ssp126,2060_2100,2060,2100,50,65,82,47.397988,39.175039,0.826513,203.600759,gev_mle,gev_mle,,,,False
6931,14,ACCESS-ESM1-5,ssp245,2040_2059,2040,2059,25,65,20,44.264743,48.118477,1.087061,244.624177,gev_mle,gev_mle,,,,False
6931,14,ACCESS-ESM1-5,ssp245,2040_2059,2040,2059,50,65,20,47.397988,53.985969,1.138993,280.576218,gev_mle,gev_mle,,,,False
6931,14,ACCESS-ESM1-5,ssp245,2060_2100,2060,2100,25,65,41,44.264743,34.270089,0.774207,174.221899,gev_mle,gev_mle,,,,False
6931,14,ACCESS-ESM1-5,ssp245,2060_2100,2060,2100,50,65,41,47.397988,35.882858,0.757054,186.490617,gev_mle,gev_mle,,,,False
