scenario,periodo,tr,fc_p10,fc_p50,fc_p90,n_modelos
ssp126,P1,25,0.92880285,1.07785900,1.31225650,31
ssp126,P1,50,0.92848146,1.08141790,1.35774800,31
ssp126,P2,25,0.89106990,1.08380500,1.30737770,31
ssp126,P2,50,0.88702667,1.08731010,1.34716880,31
ssp126,P3,25,0.91906655,1.11180470,1.51219450,31
ssp126,P3,50,0.90971226,1.14559070,1.57660470,31
ssp245,P1,25,0.87798095,1.03964520,1.29359580,30
ssp245,P1,50,0.86922450,1.04127360,1.34013820,30
ssp245,P2,25,0.89442780,1.03801770,1.33564040,30
ssp245,P2,50,0.88155000,1.04621030,1.36288180,30
ssp245,P3,25,0.87545650,1.12945750,1.32324770,30
ssp245,P3,50,0.87432444,1.15576500,1.37136940,30
ssp370,P1,25,0.88102920,1.05225440,1.51051830,25
ssp370,P1,50,0.87883080,1.07008800,1.58208230,25
ssp370,P2,25,0.83672720,1.11149810,1.27852330,25
ssp370,P2,50,0.83728250,1.11541040,1.32577910,25
ssp370,P3,25,0.87616813,1.00702880,1.40313910,25
ssp370,P3,50,0.86727850,1.00797160,1.46626380,25
ssp585,P1,25,0.93508200,1.10831630,1.34538210,33
ssp585,P1,50,0.93590176,1.13122980,1.38191390,33
ssp585,P2,25,0.82704400,1.07547910,1.40492480,33
ssp585,P2,50,0.83223250,1.09315930,1.46998700,33
ssp585,P3,25,0.87544143,1.07301720,1.25980420,33
ssp585,P3,50,0.87351970,1.09495010,1.30590560,33
