scenario,node_id,hours_flooded,max_flood_rate_cms,flood_volume_million_l,max_ponded_depth_m
TR25,N_B_0011,1.26,7.152,16.107,0.0
TR25,N_B_0038,1.09,3.737,5.85,0.0
TR25,N_B_0016,1.24,1.092,2.692,0.0
TR25,N_B_0014,1.27,1.142,2.644,0.0
TR25,N_B_0036,0.54,1.766,1.398,0.0
TR25,N_B_0021,0.45,1.441,0.982,0.0
TR25,N_B_0018,0.73,0.618,0.803,0.0
TR25,N_B_0022,0.61,0.474,0.702,0.0
TR25,N_B_0010,0.34,1.174,0.674,0.0
TR25,N_B_0003,0.28,1.506,0.647,0.0
TR25,N_B_0008,0.27,0.581,0.208,0.0
TR25,N_B_0002,0.01,1.324,0.002,0.0
TR25,N_B_0041,0.01,0.735,0.002,0.0
TR25,N_B_0006,0.01,0.35,0.001,0.0
TR25,N_B_0007,0.01,0.308,0.001,0.0
TR25,N_B_0001,0.01,0.315,0.0,0.0
TR25,N_B_0004,0.01,0.028,0.0,0.0
TR25,N_B_0020,0.01,0.192,0.0,0.0
TR50,N_B_0011,1.31,7.843,19.076,0.0
TR50,N_B_0038,1.18,4.451,7.86,0.0
TR50,N_B_0016,1.29,1.191,3.025,0.0
TR50,N_B_0014,1.33,1.292,2.978,0.0
TR50,N_B_0036,0.63,2.32,2.133,0.0
TR50,N_B_0021,0.52,1.72,1.416,0.0
TR50,N_B_0003,0.38,2.147,1.326,0.0
TR50,N_B_0010,0.42,1.626,1.147,0.0
TR50,N_B_0018,0.82,0.728,1.007,0.0
TR50,N_B_0022,0.71,0.527,0.846,0.0
TR50,N_B_0008,0.37,0.75,0.444,0.0
TR50,N_B_0020,0.03,0.137,0.007,0.0
TR50,N_B_0041,0.01,0.928,0.002,0.0
TR50,N_B_0002,0.01,0.941,0.001,0.0
TR50,N_B_0006,0.01,0.363,0.001,0.0
TR50,N_B_0007,0.01,0.337,0.001,0.0
TR50,N_B_0001,0.01,0.305,0.0,0.0
TR50,N_B_0004,0.01,0.061,0.0,0.0
