scenario,link_id,from_node,to_node,length_m,shape,diameter_or_width_m,max_flow_cms,max_velocity_mps,max_full_flow_ratio,max_full_depth_ratio,topological_connector
TR25,D_B_01,N_B_0043,O_B_DISS_01,47.436,CIRCULAR,1.2,5.039,4.49,50.98,0.97,False
TR25,L_B_0037,N_B_0036,N_B_0034,133.056,CIRCULAR,0.8,2.54,5.05,2.97,1.0,False
TR25,L_B_0021,N_B_0031,N_B_0032,103.004,CIRCULAR,0.6,1.499,6.22,2.11,0.79,False
TR25,L_B_0039,N_B_0040,N_B_0044,39.454,CIRCULAR,0.8,4.68,9.34,1.64,0.98,False
TR25,L_B_0035,N_B_0042,N_B_0043,58.13,CIRCULAR,0.8,4.006,7.97,1.63,1.0,False
TR25,L_B_0038,N_B_0034,N_B_0040,127.724,CIRCULAR,0.8,3.473,6.91,1.52,1.0,False
TR25,L_B_0036,N_B_0038,N_B_0036,114.495,CIRCULAR,0.8,1.984,3.95,1.45,1.0,False
TR25,L_B_0034,N_B_0022,N_B_0042,154.255,CIRCULAR,0.8,3.703,7.37,1.3,1.0,False
TR25,L_B_0032,N_B_0016,N_B_0018,75.603,CIRCULAR,0.8,2.981,5.93,1.21,1.0,False
TR25,L_B_0033,N_B_0018,N_B_0022,69.552,CIRCULAR,0.8,3.122,6.21,1.21,1.0,False
TR25,L_B_0028,N_B_0003,N_B_0008,73.528,CIRCULAR,0.8,3.136,6.24,1.16,1.0,False
TR25,L_B_0031,N_B_0014,N_B_0016,78.751,CIRCULAR,0.8,2.913,5.94,1.01,1.0,False
TR25,L_B_0008,N_B_0010,N_B_0011,427.157,CIRCULAR,0.6,1.776,6.28,1.0,1.0,False
TR25,L_B_0015,N_B_0021,N_B_0022,180.711,CIRCULAR,0.6,1.271,4.49,1.0,1.0,False
TR25,L_B_0029,N_B_0008,N_B_0011,602.887,CIRCULAR,0.8,3.681,7.32,1.0,1.0,False
TR25,L_B_0030,N_B_0011,N_B_0014,75.505,CIRCULAR,0.8,3.009,6.45,1.0,1.0,False
TR25,L_B_0014,N_B_0020,N_B_0021,153.213,CIRCULAR,0.6,1.658,5.86,0.93,1.0,False
TR25,L_B_0005,N_B_0002,N_B_0004,14.668,CIRCULAR,0.6,0.687,2.65,0.85,1.0,False
TR25,D_B_02,N_B_0044,O_B_DISS_02,52.301,CIRCULAR,1.2,7.133,9.27,0.75,0.65,False
TR25,L_B_0041,N_B_0026,N_B_0028,78.67,CIRCULAR,0.8,0.974,3.53,0.64,0.54,False
TR25,L_B_0001,,,,,,0.309,2.06,0.26,1.0,False
TR25,L_B_0002,,,,,,0.544,1.93,0.41,1.0,False
TR25,L_B_0003,,,,,,0.567,2.0,0.61,1.0,False
TR25,L_B_0004,,,,,,0.389,1.53,0.4,1.0,False
TR25,L_B_0006,,,,,,0.549,2.01,0.48,1.0,False
TR25,L_B_0007,,,,,,0.454,2.13,0.34,0.71,False
TR25,L_B_0009,,,,,,0.423,1.73,0.36,0.81,False
TR25,L_B_0010,,,,,,0.472,2.29,0.29,0.68,False
TR25,L_B_0011,,,,,,0.279,1.46,0.17,0.64,False
TR25,L_B_0012,,,,,,0.443,2.19,0.25,0.67,False
TR25,L_B_0013,,,,,,0.267,1.68,0.13,0.62,False
TR25,L_B_0016,,,,,,0.205,1.27,0.12,0.62,False
TR25,L_B_0017,,,,,,0.217,1.15,0.16,0.63,False
TR25,L_B_0018,,,,,,0.365,2.22,0.26,0.56,False
TR25,L_B_0019,,,,,,0.263,1.93,0.21,0.49,False
TR25,L_B_0020,,,,,,0.147,0.83,0.09,0.6,False
TR25,L_B_0022,,,,,,0.363,1.78,0.27,0.68,False
TR25,L_B_0023,,,,,,0.392,1.94,0.26,0.67,False
TR25,L_B_0024,,,,,,0.337,1.74,0.19,0.65,False
TR25,L_B_0025,,,,,,0.421,2.01,0.32,0.69,False
TR25,L_B_0026,,,,,,0.672,2.85,0.22,1.0,False
TR25,L_B_0027,,,,,,1.479,3.36,0.48,1.0,False
TR25,L_B_0040,,,,,,0.244,1.41,0.06,0.38,False
TR25,L_B_0042,,,,,,1.537,3.82,0.49,0.75,False
TR25,L_B_0043,,,,,,1.592,4.1,0.4,0.72,False
TR25,L_B_0044,,,,,,0.316,1.42,0.08,0.72,False
TR25,L_B_C0030,,,,,,3.27,6.5,3.5,1.0,True
TR50,D_B_01,N_B_0043,O_B_DISS_01,47.436,CIRCULAR,1.2,5.199,4.63,52.6,0.98,False
TR50,L_B_0037,N_B_0036,N_B_0034,133.056,CIRCULAR,0.8,2.556,5.08,2.99,1.0,False
TR50,L_B_0021,N_B_0031,N_B_0032,103.004,CIRCULAR,0.6,1.73,6.78,2.43,0.85,False
TR50,L_B_0039,N_B_0040,N_B_0044,39.454,CIRCULAR,0.8,4.882,9.71,1.71,1.0,False
TR50,L_B_0035,N_B_0042,N_B_0043,58.13,CIRCULAR,0.8,4.005,7.97,1.63,1.0,False
TR50,L_B_0038,N_B_0034,N_B_0040,127.724,CIRCULAR,0.8,3.494,6.95,1.53,1.0,False
TR50,L_B_0036,N_B_0038,N_B_0036,114.495,CIRCULAR,0.8,2.025,4.03,1.48,1.0,False
TR50,L_B_0034,N_B_0022,N_B_0042,154.255,CIRCULAR,0.8,3.704,7.37,1.3,1.0,False
TR50,L_B_0032,N_B_0016,N_B_0018,75.603,CIRCULAR,0.8,2.985,5.94,1.21,1.0,False
TR50,L_B_0033,N_B_0018,N_B_0022,69.552,CIRCULAR,0.8,3.125,6.22,1.21,1.0,False
TR50,L_B_0028,N_B_0003,N_B_0008,73.528,CIRCULAR,0.8,2.901,6.22,1.07,1.0,False
TR50,L_B_0031,N_B_0014,N_B_0016,78.751,CIRCULAR,0.8,2.921,5.95,1.01,1.0,False
TR50,L_B_0008,N_B_0010,N_B_0011,427.157,CIRCULAR,0.6,1.776,6.28,1.0,1.0,False
TR50,L_B_0014,N_B_0020,N_B_0021,153.213,CIRCULAR,0.6,1.783,6.31,1.0,1.0,False
TR50,L_B_0015,N_B_0021,N_B_0022,180.711,CIRCULAR,0.6,1.271,4.49,1.0,1.0,False
TR50,L_B_0029,N_B_0008,N_B_0011,602.887,CIRCULAR,0.8,3.681,7.32,1.0,1.0,False
TR50,L_B_0030,N_B_0011,N_B_0014,75.505,CIRCULAR,0.8,3.009,6.48,1.0,1.0,False
TR50,D_B_02,N_B_0044,O_B_DISS_02,52.301,CIRCULAR,1.2,7.705,9.4,0.81,0.68,False
TR50,L_B_0041,N_B_0026,N_B_0028,78.67,CIRCULAR,0.8,1.109,3.64,0.73,0.59,False
TR50,L_B_0005,N_B_0002,N_B_0004,14.668,CIRCULAR,0.6,0.54,2.28,0.67,1.0,False
TR50,L_B_0001,,,,,,0.292,2.01,0.24,1.0,False
TR50,L_B_0002,,,,,,0.6,2.12,0.45,1.0,False
TR50,L_B_0003,,,,,,0.429,1.88,0.46,1.0,False
TR50,L_B_0004,,,,,,0.396,1.49,0.41,1.0,False
TR50,L_B_0006,,,,,,0.632,2.23,0.56,1.0,False
TR50,L_B_0007,,,,,,0.524,2.37,0.39,0.73,False
TR50,L_B_0009,,,,,,0.487,1.87,0.41,0.87,False
TR50,L_B_0010,,,,,,0.54,2.56,0.33,0.7,False
TR50,L_B_0011,,,,,,0.318,1.64,0.19,0.65,False
TR50,L_B_0012,,,,,,0.509,2.47,0.29,0.68,False
TR50,L_B_0013,,,,,,0.301,1.67,0.15,0.63,False
TR50,L_B_0016,,,,,,0.233,1.27,0.14,0.63,False
TR50,L_B_0017,,,,,,0.247,1.29,0.18,0.64,False
TR50,L_B_0018,,,,,,0.414,2.29,0.29,0.61,False
TR50,L_B_0019,,,,,,0.302,2.01,0.24,0.52,False
TR50,L_B_0020,,,,,,0.168,0.94,0.1,0.61,False
TR50,L_B_0022,,,,,,0.411,1.95,0.3,0.7,False
TR50,L_B_0023,,,,,,0.45,2.17,0.29,0.69,False
TR50,L_B_0024,,,,,,0.385,1.95,0.22,0.66,False
TR50,L_B_0025,,,,,,0.487,2.27,0.37,0.71,False
TR50,L_B_0026,,,,,,0.683,2.79,0.22,1.0,False
TR50,L_B_0027,,,,,,1.701,3.38,0.56,1.0,False
TR50,L_B_0040,,,,,,0.277,1.44,0.07,0.41,False
TR50,L_B_0042,,,,,,1.753,4.23,0.56,0.77,False
TR50,L_B_0043,,,,,,1.865,4.55,0.47,0.76,False
TR50,L_B_0044,,,,,,0.317,1.49,0.09,0.76,False
TR50,L_B_C0030,,,,,,3.784,7.53,4.05,1.0,True
