scenario,link_id,from_node,to_node,length_m,from_elevation_m,to_elevation_m,slope_percent,current_diameter_m,max_flow_cms,current_full_flow_capacity_cms,required_diameter_full_flow_m,nominal_candidate_m,max_velocity_mps,max_full_flow_ratio_reported,status,flag_triagem
TR25,L_A_0001,N_A_0001,N_A_0002,198.567,113.264,107.105,3.101723851395243,0.6,0.253,1.0813794213516998,0.34800033183221857,0.4,3.12,0.23,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_A_0002,N_A_0003,N_A_0004,211.833,111.079,103.989,3.346976155745322,0.6,0.26,1.123318328514589,0.34659930614963586,0.4,3.21,0.23,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_A_0008,N_A_0013,N_A_0014,2.098,79.296,79.296,0.0,0.6,0.623,,,,2.39,8.42,SENTIDO_OU_COTA_AUDITAR,SENTIDO_OU_COTA_AUDITAR;Q_ACIMA_FULL_FLOW
TR25,L_A_0009,N_A_0016,N_A_0015,149.969,71.331,68.919,1.6083323886936673,0.6,0.989,0.7786897172749487,0.6562785272194258,0.8,3.5,1.27,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_A_0015,N_A_0024,N_A_0025,70.661,116.566,112.766,5.3777897284216145,0.6,0.578,1.4238965721559809,0.4278778186722173,0.5,3.85,0.41,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_A_0016,N_A_0025,N_A_0026,73.384,112.766,107.723,6.8720702060394725,0.6,1.038,1.6096087701675132,0.5089851765352147,0.6,4.82,0.64,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_A_0017,N_A_0026,N_A_0027,71.716,107.723,101.902,8.116738245300906,0.6,1.482,1.7493121244257397,0.5638246862551717,0.6,5.24,0.85,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_A_0018,N_A_0028,N_A_0027,167.452,102.055,101.902,0.09136946707116415,0.6,0.999,0.1855996196032385,1.1279033921801997,1.2,4.15,5.38,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_A_0019,N_A_0030,N_A_0029,24.694,108.549,107.19,5.503361140358018,0.6,0.134,1.440424641632946,0.24625303762945688,0.3,3.19,0.09,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_A_0027,N_A_0027,N_A_0042,218.668,101.902,100.91,0.453655770391646,0.6,0.984,0.4135611702248336,0.8304662814920882,1.0,3.48,2.38,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_A_0040,N_A_0064,N_A_0065,2.29,45.684,45.684,0.0,0.6,0.24,,,,1.55,3.39,SENTIDO_OU_COTA_AUDITAR,SENTIDO_OU_COTA_AUDITAR;Q_ACIMA_FULL_FLOW
TR25,L_A_0048,N_A_0076,N_A_0077,75.796,30.389,29.454,1.2335743310992646,0.6,0.803,0.6819604642527738,0.6379106909753052,0.8,2.84,1.18,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW
TR25,L_A_0055,N_A_0085,N_A_0084,69.691,53.278,51.343,2.7765421646984474,0.6,0.942,1.0231249426240772,0.5816973519611568,0.6,3.6,0.92,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_A_0056,N_A_0087,N_A_0086,262.898,56.732,55.689,0.3967318123378646,0.6,0.683,0.3867453039321152,0.7426336447673622,0.8,2.48,1.77,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW
TR25,L_A_0057,N_A_0087,N_A_0088,70.315,56.732,56.702,0.042665149683568424,0.6,0.15,0.13729715497641148,,,0.53,1.18,DECLIVIDADE_MUITO_BAIXA_AUDITAR,DECLIVIDADE_MUITO_BAIXA_AUDITAR;Q_ACIMA_FULL_FLOW
TR25,L_A_0061,N_A_0084,N_A_0093,75.244,51.343,47.357,5.297432353410244,0.6,1.724,1.4132182776055804,0.6464340977782608,0.8,6.1,1.22,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_A_0063,N_A_0096,N_A_0097,313.337,70.337,70.121,0.06893536352234438,0.6,0.19,0.1612120761152833,0.6381308806249405,0.8,0.79,1.18,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW
TR25,L_A_0064,N_A_0097,N_A_0098,2.329,70.121,70.121,0.0,0.6,0.558,,,,2.23,7.94,SENTIDO_OU_COTA_AUDITAR,SENTIDO_OU_COTA_AUDITAR;Q_ACIMA_FULL_FLOW
TR25,L_A_0066,N_A_0102,N_A_0101,184.648,77.195,76.513,0.3693514145834171,0.6,0.537,0.373161146901129,0.6877497644545607,0.8,2.0,1.44,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW
