scenario,link_id,from_node,to_node,length_m,from_elevation_m,to_elevation_m,slope_percent,current_diameter_m,max_flow_cms,current_full_flow_capacity_cms,required_diameter_full_flow_m,nominal_candidate_m,max_velocity_mps,max_full_flow_ratio_reported,status,flag_triagem
TR25,L_B_0008,N_B_0010,N_B_0011,427.157,98.532,62.824,8.359455656819389,0.6,1.776,1.7752745822902947,0.6000919283972944,0.8,6.28,1.0,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_B_0014,N_B_0020,N_B_0021,153.213,70.557,57.638,8.432052110460605,0.6,1.658,1.7829664731112744,0.5838708002091864,0.6,5.86,0.93,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_B_0015,N_B_0021,N_B_0022,180.711,57.638,49.897,4.283635196529264,0.6,1.271,1.2708162952732052,0.6000325237381914,0.8,4.49,1.0,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_B_0021,N_B_0031,N_B_0032,103.004,49.035,47.651,1.343637140305224,0.6,1.499,0.7117337098913922,0.7933371410029231,0.8,6.22,2.11,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_B_0027,N_B_0005,N_B_0003,60.266,115.798,112.589,5.324727043440752,0.8,1.479,3.051372128817419,0.6097367359854138,0.8,3.36,0.48,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_B_0028,N_B_0003,N_B_0008,73.528,112.589,109.522,4.171200087041662,0.8,3.136,2.7007041488260177,0.8461105844337856,1.0,6.24,1.16,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_B_0029,N_B_0008,N_B_0011,602.887,109.522,62.824,7.745730128531552,0.8,3.681,3.68025304677571,0.8000608848775279,1.0,7.32,1.0,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_B_0030,N_B_0011,N_B_0014,75.505,62.824,58.917,5.174491755512876,0.8,3.009,3.0080174394337535,0.8000979841679792,1.0,6.45,1.0,PRE_DIMENSIONAR_MANNING,VELOCIDADE_ALTA
TR25,L_B_0031,N_B_0014,N_B_0016,78.751,58.917,55.19,4.732638315703932,0.8,2.913,2.8767237435637667,0.803768273280598,1.0,5.94,1.01,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_B_0032,N_B_0016,N_B_0018,75.603,55.19,52.56,3.478697935267113,0.8,2.981,2.466350865777248,0.8589248259377279,1.0,5.93,1.21,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_B_0033,N_B_0018,N_B_0022,69.552,52.56,49.897,3.8287899700943226,0.8,3.122,2.587481610789483,0.8583676606270033,1.0,6.21,1.21,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_B_0034,N_B_0022,N_B_0042,154.255,49.897,42.798,4.602119866454895,0.8,3.703,2.8367787380866805,0.8840729045203515,1.0,7.37,1.3,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_B_0035,N_B_0042,N_B_0043,58.13,42.798,40.784,3.4646482023051832,0.8,4.006,2.461365289256422,0.9603190949212428,1.0,7.97,1.63,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
TR25,L_B_0036,N_B_0038,N_B_0036,114.495,38.503,37.277,1.0707891174287079,0.8,1.984,1.3683540266494136,0.9195888238735964,1.0,3.95,1.45,PRE_DIMENSIONAR_MANNING,Q_ACIMA_FULL_FLOW;VELOCIDADE_ALTA
