tipo_ponto,nome_original,classe_original,bacia_recorte,dentro_escopo_A_B,coincide_suscetibilidade,classes_suscetibilidade,distancia_min_suscetibilidade_m
META_ORIGINAL,1i,Conde,Bacia B,SIM,NAO,SEM_COINCIDENCIA_DIRETA,25.85
META_ORIGINAL,1f,Conde,Bacia B,SIM,NAO,SEM_COINCIDENCIA_DIRETA,584.8
META_ORIGINAL,2f,Conde,Bacia B,SIM,NAO,SEM_COINCIDENCIA_DIRETA,390.38
META_ORIGINAL,2i - foto?,Conde,Bacia B,SIM,NAO,SEM_COINCIDENCIA_DIRETA,133.04
META_ORIGINAL,4i,Conde,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,10109.09
META_ORIGINAL,4f,Conde,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,10109.23
META_ORIGINAL,3i,Conde,Bacia A,SIM,SIM,Suscetibilidade MEDIA,0.0
META_ORIGINAL,3f,Conde,Bacia A,SIM,SIM,Suscetibilidade ALTA + Suscetibilidade MEDIA,0.0
META_ORIGINAL,5i,Conde,Bacia A,SIM,NAO,SEM_COINCIDENCIA_DIRETA,41.41
META_ORIGINAL,5f,Conde,Bacia A,SIM,NAO,SEM_COINCIDENCIA_DIRETA,26.08
META_ORIGINAL,6f,Conde,Bacia A,SIM,SIM,Suscetibilidade ALTA,0.0
META_ORIGINAL,6i,Conde,Bacia A,SIM,SIM,Suscetibilidade ALTA,0.0
EROSAO_FOTOGRAFIA,P01 - WA0029,e,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,10111.65
EROSAO_FOTOGRAFIA,P02 - WA0030,e,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,10109.09
EROSAO_FOTOGRAFIA,P03 - WA0050,e,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,6843.09
EROSAO_FOTOGRAFIA,P04 - WA0038,e,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,7338.27
EROSAO_FOTOGRAFIA,P05 - WA0039,e,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,7378.18
EROSAO_FOTOGRAFIA,P06 - WA0037,e,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,7404.76
EROSAO_FOTOGRAFIA,P07 - WA0051,e,FORA_DO_ESCOPO_A_B,NAO,NAO,SEM_COINCIDENCIA_DIRETA,7401.46
EROSAO_FOTOGRAFIA,P08 - WA0054,e,Bacia A,SIM,SIM,Pontos de erosao observados (fotos) + Suscetibilidade MEDIA,0.0
EROSAO_FOTOGRAFIA,P09 - WA0055,e,Bacia A,SIM,SIM,Pontos de erosao observados (fotos) + Suscetibilidade MEDIA,0.0
