"id_link","node_in","node_out","classe","origem","comp_m","cota_in","cota_out","decl_pct","diam_m","obs","bacia","ID_LINK_ORIG","ID_LINK_SEG","META_ID","META_ORIG","SELECAO_REC","COMP_REC_M","PERC_LINK_REC","X_IN_REC","Y_IN_REC","X_OUT_REC","Y_OUT_REC"
"L_A_0001","N_A_0001","N_A_0002","COLETOR","ColetarA6_F001",198.566638362293,113.263748168945,107.10474395752,3.10173162129503,0.6,"DECLIVE_MDE","A","L_A_0001","L_A_0001_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",198.566638362459,100,289131.35020608,9196722.47288208,289100.017775717,9196918.31726132
"L_A_0002","N_A_0003","N_A_0004","COLETOR","ColetarA6_F002",211.833318518035,111.079216003418,103.988952636719,3.34709545047116,0.6,"DECLIVE_MDE","A","L_A_0002","L_A_0002_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",211.833318518063,100,289062.840624617,9196717.67509471,289029.576449262,9196926.84267435
"L_A_0003","N_A_0005","N_A_0006","COLETOR","ColetarA6_F003",188.047791229528,109.448501586914,96.2129516601562,7.03839690975296,0.6,"DECLIVE_MDE","A","L_A_0003","L_A_0003_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",188.047791229444,100,288990.450479835,9196719.79176561,288962.987416047,9196905.81726133
"L_A_0004","N_A_0007","N_A_0008","COLETOR","ColetarA6_F004",189.502007387117,105.006538391113,88.8239440917969,8.5395371386533,0.6,"DECLIVE_MDE","A","L_A_0004","L_A_0004_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",189.502007387169,100,288918.907003415,9196713.44175291,288892.061268427,9196901.02480514
"L_A_0005","N_A_0009","N_A_0008","COLETOR","ColetarA6_F004",2.92766735975756,89.0162124633789,88.8239440917969,6.56728883290734,0.6,"DECLIVE_MDE","A","L_A_0005","L_A_0005_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",2.92766735975467,100,288892.046773809,9196903.95243662,288892.061268427,9196901.02480514
"L_A_0006","N_A_0010","N_A_0011","COLETOR","ColetarA6_F005",178.290547764267,93.8661346435547,81.7751541137695,6.7816161212156,0.6,"DECLIVE_MDE","A","L_A_0006","L_A_0006_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",178.290547764226,100,288846.834359268,9196711.21924846,288819.838933488,9196887.39904052
"L_A_0007","N_A_0012","N_A_0013","COLETOR","ColetarA6_F006",164.494519434598,81.2002029418945,79.2955017089844,1.15791166748716,0.6,"DECLIVE_MDE","A","L_A_0007","L_A_0007_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",164.494519434601,100,288773.456434731,9196709.31424466,288768.059772323,9196873.72006608
"L_A_0008","N_A_0013","N_A_0014","COLETOR","ColetarA6_F006",2.09844307419512,79.2955017089844,79.2955017089844,0,0.6,"DIRECAO_ORIGINAL_COTA_IGUAL","A","L_A_0008","L_A_0008_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",2.09844307421519,100,288768.059772323,9196873.72006608,288767.987416046,9196875.81726133
"L_A_0009","N_A_0016","N_A_0015","COLETOR","ColetarA6_F007",149.969387235642,71.3307342529297,68.9187088012695,1.60834520705897,0.6,"DECLIVE_MDE","A","L_A_0009","L_A_0009_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",149.969387235412,100,288683.04962771,9196832.80082424,288657.886203591,9196686.1366983
"L_A_0010","N_A_0017","N_A_0018","COLETOR","ColetarA6_F008",171.948853588971,63.0862464904785,56.698802947998,3.71473459064118,0.6,"DECLIVE_MDE","A","L_A_0010","L_A_0010_FORA_01","","","DIFERENCA_FORA_POLIGONOS_AUDITORIA",171.948853588593,100,288588.565231614,9196674.70667545,288530.808197817,9196775.83381751
