BACIA,ID_LINK,NO_IN,NO_OUT,CLASSE,D_ATUAL_M,DPROP_M,DREQ25,DREQ50,DNOM25,DNOM50,COMPR_M,COTA_IN,COTA_OUT,DECL_PCT,Q25_CMS,Q50_CMS,V25_MPS,V50_MPS,STATUS_SW,CRITICO,DIM_STAT,SELEC_META,META_ID,FONTE_SEL,OVERLAP_M,META_HA,X_IN_M,Y_IN_M,X_OUT_M,Y_OUT_M
B,L_B_0007,N_B_0009,N_B_0010,COLETOR,0.6,0.5,0.40001153955739,0.42211016224389,0.5,0.5,388.516778750089,116.99341583251953,98.53153991699219,4.751886385684988,0.454,0.524,2.13,2.37,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_01,POLIGONO,7.556888024132805,2.1210190442754335,288997.678910953,9196015.645912863,288815.41799777193,9195763.386693025
B,L_B_0008,N_B_0010,N_B_0011,COLETOR,0.6,0.8,0.600091928397294,0.600091928397294,0.8,0.8,427.15689525897756,98.53153991699219,62.823890686035156,8.359375589455983,1.776,1.776,6.28,6.28,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_01,POLIGONO,427.15689525897756,2.1210190442754335,288815.41799777193,9195763.386693025,288556.8848321051,9195425.146780098
B,L_B_0009,N_B_0012,N_B_0010,COLETOR,0.6,0.5,0.407621436617193,0.429736990377657,0.5,0.5,307.7357552197082,110.01205444335938,98.53153991699219,3.730640437985721,0.423,0.487,1.73,1.87,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_01,POLIGONO,5.898774380443187,2.1210190442754335,288925.3550885288,9196048.090949973,288815.41799777193,9195763.386693025
B,L_B_0010,N_B_0013,N_B_0014,COLETOR,0.6,0.4,0.377784258373561,0.397340897210235,0.4,0.4,702.483361192465,107.85828399658203,58.91679382324219,6.966925179588837,0.472,0.54,2.29,2.56,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_01,POLIGONO,16.403296441393024,2.1210190442754335,288852.93848536117,9196073.226416912,288498.85808558326,9195473.42582633
B,L_B_0011,N_B_0015,N_B_0016,COLETOR,0.6,0.4,0.305788589404429,0.321166226686566,0.4,0.4,667.5763510532576,105.3758773803711,55.190128326416016,7.517604387090008,0.279,0.318,1.46,1.64,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_01,POLIGONO,11.513548786013235,2.1210190442754335,288783.12362351007,9196094.459271872,288442.2923552901,9195528.21646639
B,L_B_0012,N_B_0017,N_B_0018,COLETOR,0.6,0.4,0.358377776478934,0.377536409870246,0.4,0.4,595.4610067169639,100.972900390625,52.5598030090332,8.130355612790552,0.443,0.509,2.19,2.47,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_01,POLIGONO,11.314405188037007,2.1210190442754335,288701.09996751655,9196079.89261413,288387.98740739946,9195580.817273768
B,L_B_0015,N_B_0021,N_B_0022,COLETOR,0.6,0.8,0.600032523738191,0.600032523738191,0.8,0.8,180.71075721045634,57.63808822631836,49.897239685058594,4.283557138906096,1.271,1.271,4.49,4.49,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_01,POLIGONO,14.864766816949713,2.1210190442754335,288447.77088863,9195769.974384291,288336.522805931,9195627.603270521
B,L_B_0022,N_B_0033,N_B_0034,COLETOR,0.6,0.4,0.366372962125906,0.383839013627661,0.4,0.4,314.17755033790985,51.9670295715332,36.71992874145508,4.853020470011078,0.363,0.411,1.78,1.95,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_01,POLIGONO,2.732793713663684,2.1210190442754335,288368.1820436275,9195588.372431936,288123.4575222149,9195391.876166038
B,L_B_0024,N_B_0037,N_B_0038,COLETOR,0.6,0.4,0.322126097556058,0.338619896036539,0.4,0.4,267.20030922733145,60.70613479614258,38.50337219238281,8.309407525748732,0.337,0.385,1.74,1.95,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_01,POLIGONO,0.6193342898773264,2.1210190442754335,288522.9874119761,9195445.817278786,288332.17112160224,9195258.814357556
B,L_B_0029,N_B_0008,N_B_0011,TRONCO,0.8,1.0,0.800060884877528,0.800060884877528,1.0,1.0,602.8867525231589,109.52175903320312,62.823890686035156,7.745711470973838,3.681,3.681,7.32,7.32,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_01,POLIGONO,11.59790208555032,2.1210190442754335,288950.8118761161,9195682.092734257,288556.8848321051,9195425.146780098
B,L_B_0030,N_B_0011,N_B_0014,TRONCO,0.8,1.0,0.800097984167979,0.800097984167979,1.0,1.0,75.50547046859533,62.823890686035156,58.91679382324219,5.174587799460214,3.009,3.009,6.45,6.48,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_01,POLIGONO,75.50547046859533,2.1210190442754335,288556.8848321051,9195425.146780098,288498.85808558326,9195473.42582633
B,L_B_0031,N_B_0014,N_B_0016,TRONCO,0.8,1.0,0.803768273280598,0.804595337632979,1.0,1.0,78.7508481336427,58.91679382324219,55.190128326416016,4.732222680956911,2.913,2.921,5.94,5.95,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_01,POLIGONO,78.7508481336427,2.1210190442754335,288498.85808558326,9195473.42582633,288442.2923552901,9195528.21646639
B,L_B_0032,N_B_0016,N_B_0018,TRONCO,0.8,1.0,0.858924825937728,0.859356844515934,1.0,1.0,75.6033884503842,55.190128326416016,52.5598030090332,3.479110356421394,2.981,2.985,5.93,5.94,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_01,POLIGONO,75.6033884503842,2.1210190442754335,288442.2923552901,9195528.21646639,288387.98740739946,9195580.817273768
B,L_B_0033,N_B_0018,N_B_0022,TRONCO,0.8,1.0,0.858367660627003,0.858676877088111,1.0,1.0,69.55238814410126,52.5598030090332,49.897239685058594,3.828140765574017,3.122,3.125,6.21,6.22,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_01,POLIGONO,69.55238814410126,2.1210190442754335,288387.98740739946,9195580.817273768,288336.522805931,9195627.603270521
B,L_B_0034,N_B_0022,N_B_0042,TRONCO,0.8,1.0,0.884072904520351,0.884162426358146,1.0,1.0,154.25500349808732,49.897239685058594,42.79811096191406,4.602203210369482,3.703,3.704,7.37,7.37,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_01,POLIGONO,154.25500349808732,2.1210190442754335,288336.522805931,9195627.603270521,288229.73836118355,9195738.905303843
B,L_B_0035,N_B_0042,N_B_0043,TRONCO,0.8,1.0,0.960319094921243,0.960229192835221,1.0,1.0,58.12980979554841,42.79811096191406,40.78421401977539,3.464482249678539,4.006,4.005,7.97,7.97,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_01,POLIGONO,58.12980979554841,2.1210190442754335,288229.73836118355,9195738.905303843,288188.43505635404,9195708.162422916
B,L_B_0044,N_B_0032,N_B_0042,TRONCO,0.8,0.4,0.317220071755568,0.317596147983992,0.4,0.4,61.2034472538172,47.65062713623047,42.79811096191406,7.928501403184867,0.316,0.317,1.42,1.49,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_01,POLIGONO,4.639272650054852,2.1210190442754335,288191.0907727772,9195785.836660188,288229.73836118355,9195738.905303843
B,D_B_01,N_B_0043,O_B_DISS_01,DISSIPADOR,1.2,1.2,,,,,47.43592009331458,40.78421401977539,40.78421401977539,0.0,5.039,5.199,4.49,4.63,AUDITAR_COTA_SENTIDO,1,PRELIM_SWMM,SIM,META_01,POLIGONO,47.43592009331458,2.1210190442754335,288152.9874160467,9195739.684340874,288188.43505635404,9195708.162422916
B,L_B_0022,N_B_0033,N_B_0034,COLETOR,0.6,0.4,0.366372962125906,0.383839013627661,0.4,0.4,314.17755033790985,51.9670295715332,36.71992874145508,4.853020470011078,0.363,0.411,1.78,1.95,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_02,POLIGONO,7.146284083381863,1.5326410894678277,288368.1820436275,9195588.372431936,288123.4575222149,9195391.876166038
B,L_B_0023,N_B_0035,N_B_0036,COLETOR,0.6,0.4,0.359952971646301,0.379068922539824,0.4,0.4,284.5513292071679,54.97315216064453,37.27745819091797,6.218805590903845,0.392,0.45,1.94,2.17,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_02,POLIGONO,284.5513292071679,1.5326410894678277,288438.34968396154,9195520.74479668,288235.930173479,9195320.836301902
B,L_B_0025,N_B_0039,N_B_0040,COLETOR,0.6,0.5,0.390287731173965,0.412194766912337,0.4,0.5,337.1712776535128,48.64141082763672,32.932491302490234,4.659032535176213,0.421,0.487,2.01,2.27,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_02,POLIGONO,11.20928942960334,1.5326410894678277,288283.4093740761,9195657.199514033,288012.9874160483,9195455.817261323
B,L_B_0036,N_B_0038,N_B_0036,TRONCO,0.8,1.0,0.919588823873596,0.926669660673153,1.0,1.0,114.49472335484492,38.50337219238281,37.27745819091797,1.070716593345058,1.984,2.025,3.95,4.03,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_02,POLIGONO,10.01260546262896,1.5326410894678277,288332.17112160224,9195258.814357556,288235.930173479,9195320.836301902
B,L_B_0037,N_B_0036,N_B_0034,TRONCO,0.8,1.5,1.203112685411559,1.205949108406102,1.5,1.5,133.0556967331609,37.27745819091797,36.71992874145508,0.419019600927722,2.54,2.556,5.05,5.08,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_02,POLIGONO,133.0556967331609,1.5326410894678277,288235.930173479,9195320.836301902,288123.4575222149,9195391.876166038
B,L_B_0038,N_B_0034,N_B_0040,TRONCO,0.8,1.0,0.937181203397847,0.939302252008587,1.0,1.0,127.72438826830773,36.71992874145508,32.932491302490234,2.965320476625545,3.473,3.494,6.91,6.95,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_02,POLIGONO,127.72438826830773,1.5326410894678277,288123.4575222149,9195391.876166038,288012.9874160483,9195455.817261323
B,L_B_0039,N_B_0040,N_B_0044,TRONCO,0.8,1.0,0.963007194760274,0.978388867688396,1.0,1.0,39.45357495072143,32.932491302490234,31.09372329711914,4.660586544230185,4.68,4.882,9.34,9.71,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_02,POLIGONO,39.45357495072143,1.5326410894678277,288012.9874160483,9195455.817261323,287974.8453236195,9195458.501090258
B,D_B_02,N_B_0044,O_B_DISS_02,DISSIPADOR,1.2,1.2,1.075816540876816,1.107390706522944,1.2,1.2,52.30110798222673,31.09372329711914,27.958951950073242,5.993699690092941,7.133,7.705,9.27,9.4,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_02,POLIGONO,52.30110798222673,1.5326410894678277,287974.8453236209,9195458.50109026,287923.1117303856,9195450.817261323
B,L_B_0011,N_B_0015,N_B_0016,COLETOR,0.6,0.4,0.305788589404429,0.321166226686566,0.4,0.4,667.5763510532576,105.3758773803711,55.190128326416016,7.517604387090008,0.279,0.318,1.46,1.64,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_03,POLIGONO,667.5763510532576,1.2220715082258067,288783.12362351007,9196094.459271872,288442.2923552901,9195528.21646639
B,L_B_0031,N_B_0014,N_B_0016,TRONCO,0.8,1.0,0.803768273280598,0.804595337632979,1.0,1.0,78.7508481336427,58.91679382324219,55.190128326416016,4.732222680956911,2.913,2.921,5.94,5.95,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_03,POLIGONO,5.337330105591016,1.2220715082258067,288498.85808558326,9195473.42582633,288442.2923552901,9195528.21646639
B,L_B_0032,N_B_0016,N_B_0018,TRONCO,0.8,1.0,0.858924825937728,0.859356844515934,1.0,1.0,75.6033884503842,55.190128326416016,52.5598030090332,3.479110356421394,2.981,2.985,5.93,5.94,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_03,POLIGONO,2.1749968478391786,1.2220715082258067,288442.2923552901,9195528.21646639,288387.98740739946,9195580.817273768
